"TckrSymb","FinInstrmNm"
"AGOL","Ashapuri Gold Ornament Limited"
"AARTECH","Aartech Solonics Limited"
"MSTCLTD","MSTC Limited"
"EMBASSY","Embassy Office Parks REIT"
"CHANDNIMACH","Chandni Machines Limited"
"NSL","Northern Spirits Limited"
"RVNL","Rail Vikas Nigam Limited"
"METROPOLIS","Metropolis Healthcare Limited"
"KPITTECH","KPIT Technologies Ltd"
"POLYCAB","Polycab India Limited"
"VRFILMS","V R FILMS & STUDIOS LIMITED"
"VIKASLIFE","VIKAS LIFECARE LIMITED"
"NEOGEN","Neogen Chemicals Limited"
"GKP","G. K. P. Printing & Packaging"
"EVANS","EVANS ELECTRIC LIMITED"
"BMW","BMW INDUSTRIES LIMITED"
"AEPL","Artemis Electricals and Projec"
"DEL","Dhanashree Electronics Limited"
"HARISH","Harish Textile Engineers Limit"
"PPL","Prakash Pipes Limited"
"PARSHVA","Parshva Enterprises Limited"
"ARL","Anand Rayons Limited"
"SBC","SBC EXPORTS LIMITED"
"INDIAMART","IndiaMART InterMESH Limited"
"CPML","CITY PULSE MULTIVENTURES LIMIT"
"DCMNVL","DCM NOUVELLE LIMITED"
"BANKIETF","ICICI Prudential Mutual Fund"
"SNXT50BEES","NIPPON INDIA ETF SENSEX NEXT 5"
"AFFLE","AFFLE 3I LIMITED"
"PVTBANIETF","ICICI Prudential Mutual Fund"
"SPANDANA","Spandana Sphoorty Financial Li"
"SWSOLAR","STERLING AND WILSON RENEWABLE"
"ALPHALOGIC","Alphalogic Techsys Limited"
"360ONE","360 ONE WAM LIMITED"
"IIFLCAPS","IIFL CAPITAL SERVICES LIMITED"
"MUFIN","MUFIN GREEN FINANCE LIMITED"
"GALACTICO","Galactico Corporate Services L"
"VEL","Vaxfab Enterprises Limited"
"FLUOROCHEM","Gujarat Fluorochemicals Limite"
"IRCTC","Indian Railway Catering and To"
"GOBLIN","GOBLIN INDIA LIMITED"
"GENSOL","Gensol Engineering Limited"
"VISHWARAJ","Vishwaraj Sugar Industries Lim"
"GREENPANEL","Greenpanel Industries Limited"
"SHAHLON","Shahlon Silk Industries Limite"
"ABSLBANETF","Aditya Birla Sun Life Mutual F"
"ANUROOP","Anuroop Packaging Limited"
"CSBBANK","CSB Bank Limited"
"UJJIVANSFB","Ujjivan Small Finance Bank Lim"
"HINDWAREAP","Hindware Home Innovation Limit"
"PRINCEPIPE","Prince Pipes and Fittings Limi"
"EBBETF0430","Edelweiss Mutual Fund"
"VALENCIA","Valencia Nutrition Limited"
"GIANLIFE","Gian Life Care Limited"
"ARTEMISMED","Artemis Medicare Services Limi"
"SUMICHEM","SUMITOMO CHEMICAL INDIA LIMITE"
"MIDCAPIETF","ICICI Prudential Mutual Fund"
"NEXT50","Mirae Asset Mutual Fund"
"COHANCE","Cohance Lifesciences Limited"
"SMAUTO","SM Auto Stamping Limited"
"SBICARD","SBI CARDS AND PAYMENT SERVICES"
"07AGG","Nippon India Mutual Fund"
"07GPG","Nippon India Mutual Fund"
"09AGG","Nippon India Mutual Fund"
"09GPG","Nippon India Mutual Fund"
"UTCRFS2DGR","UTI Mutual Fund"
"UTCRFS2RGR","UTI Mutual Fund"
"08MPD","Nippon India Mutual Fund"
"08GPG","Nippon India Mutual Fund"
"10AGG","Nippon India Mutual Fund"
"10ARD","Nippon India Mutual Fund"
"10GPG","Nippon India Mutual Fund"
"ROJL","RO Jewels Limited"
"COSPOWER","Cospower Engineering Limited"
"11DPR","Nippon India Mutual Fund"
"11GPG","Nippon India Mutual Fund"
"11MPD","Nippon India Mutual Fund"
"11MPR","Nippon India Mutual Fund"
"11QPD","Nippon India Mutual Fund"
"11AMD","Nippon India Mutual Fund"
"11AQD","Nippon India Mutual Fund"
"11DPD","Nippon India Mutual Fund"
"POWERINDIA","HITACHI ENERGY INDIA LIMITED"
"DJML","DJ Mediaprint & Logistics Limi"
"NATURAL","Natural Biocon (India) Limited"
"REGIS","REGIS INDUSTRIES LIMITED"
"BILLWIN","Billwin Industries Limited"
"AARTISURF","Aarti Surfactants Limited"
"BONLON","BONLON INDUSTRIES LIMITED"
"BOROLTD","Borosil Limited"
"ROSSARI","ROSSARI BIOTECH LIMITED"
"NDRAUTO","NDR Auto Components Limited"
"EBBETF0431","Edelweiss Mutual Fund"
"MINDSPACE","Mindspace Business Parks REIT"
"SBGLP","SURATWWALA BUSINESS GROUP LIMI"
"ALPL30IETF","ICICI Prudential Mutual Fund"
"MAXHEALTH","Max Healthcare Institute Limit"
"ITIETF","ICICI Prudential Mutual Fund"
"MAXIND","Max India Limited"
"HDFCNIFBAN","HDFC Mutual Fund"
"ALTIUSINVIT","Altius Telecom Infrastructure"
"BANKBETA","UTI Mutual Fund"
"HAPPSTMNDS","Happiest Minds Technologies Li"
"ROUTE","Route Mobile Limited"
"SAMRATFORG","Samrat Forgings Limited"
"ADVAIT","ADVAIT ENERGY TRANSITIONS LIMI"
"CAMS","Computer Age Management Servic"
"CHEMCON","Chemcon Speciality Chemicals L"
"ANGELONE","ANGEL ONE LIMITED"
"ATAM","Atam Valves Limited"
"MAZDOCK","Mazagon Dock Shipbuilders Limi"
"UTIAMC","UTI Asset Management Company L"
"GMPL","G M Polyplast Limited"
"LIKHITHA","Likhitha Infrastructure Limite"
"VGIL","Veer Global Infraconstruction"
"HEMIPROP","Hemisphere Properties India Li"
"EQUITASBNK","Equitas Small Finance Bank Lim"
"SHINEFASH","Shine Fashions (India) Limited"
"GLAND","Gland Pharma Limited"
"ESG","Mirae Asset Mutual Fund"
"RBA","Restaurant Brands Asia Limited"
"TARC","TARC LIMITED"
"MOGSEC","Motilal Oswal Mutual Fund"
"RVHL","Ravinder Heights Limited"
"FAIRCHEMOR","Fairchem Organics Limited"
"BECTORFOOD","Mrs. Bectors Food Specialities"
"AWHCL","Antony Waste Handling Cell Lim"
"INFRABEES","Nippon India Mutual Fund"
"RFLL","RITA FINANCE AND LEASING LIMIT"
"IRFC","Indian Railway Finance Corpora"
"INDIGOPNTS","Indigo Paints Limited"
"HOMEFIRST","Home First Finance Company Ind"
"STOVEKRAFT","STOVE KRAFT LIMITED"
"BIRET","Brookfield India Real Estate T"
"MRP","MRP Agro Limited"
"SMCGLOBAL","SMC Global Securities Limited"
"NURECA","Nureca Limited"
"RAILTEL","RailTel Corporation of India L"
"HERANBA","Heranba Industries Limited"
"DAVANGERE","Davangere Sugar Company Limite"
"DRCSYSTEMS","DRC Systems India Limited"
"MTARTECH","MTAR Technologies Limited"
"JUBLINGREA","Jubilant Ingrevia Limited"
"EASEMYTRIP","Easy Trip Planners Limited"
"KMEW","Knowledge Marine & Engineering"
"ANURAS","Anupam Rasayan India Limited"
"CRAFTSMAN","Craftsman Automation Limited"
"LXCHEM","Laxmi Organic Industries Limit"
"KALYANKJIL","Kalyan Jewellers India Limited"
"SURYODAY","Suryoday Small Finance Bank Li"
"NAZARA","Nazara Technologies Limited"
"SUVIDHAA","Suvidhaa Infoserve Limited"
"UFBL","UNITED FOODBRANDS LIMITED"
"EKI","EKI Energy Services Limited"
"RCAN","Rajeshwari Cans Limited"
"LODHA","Lodha Developers Limited"
"DEEPINDS","Deep Industries Limited"
"PGINVIT","POWERGRID Infrastructure Inves"
"MAFANG","Mirae Asset Mutual Fund"
"HEALTHIETF","ICICI Prudential Mutual Fund"
"VINEETLAB","Vineet Laboratories Limited"
"SHYAMMETL","Shyam Metalics and Energy Limi"
"SONACOMS","Sona BLW Precision Forgings Li"
"DODLA","Dodla Dairy Limited"
"KIMS","Krishna Institute of Medical S"
"TIMESGREEN","Times Green Energy (India) Lim"
"IPL","India Pesticides Limited"
"GRINFRA","G R Infraprojects Limited"
"CLEAN","Clean Science and Technology L"
"ETERNAL","Eternal Limited"
"TATVA","Tatva Chintan Pharma Chem Limi"
"ALIVUS","ALIVUS LIFE SCIENCES LIMITED"
"BFSI","Mirae Asset Mutual Fund"
"GCSL","Gretex Corporate Services Limi"
"ROLEXRINGS","Rolex Rings Limited"
"FMCGIETF","ICICI Prudential Mutual Fund"
"EXXARO","Exxaro Tiles Limited"
"KRSNAA","Krsnaa Diagnostics Limited"
"WINDLAS","Windlas Biotech Limited"
"DEVYANI","Devyani International Limited"
"MOL","Meghmani Organics Limited"
"EPIGRAL","Epigral Limited"
"CARTRADE","CarTrade Tech Limited"
"NUVOCO","Nuvoco Vistas Corporation Limi"
"APTUS","Aptus Value Housing Finance In"
"CHEMPLASTS","Chemplast Sanmar Limited"
"SHARPLINE","SHARPLINE BROADCAST LIMITED"
"AASHKA","Aashka Hospitals Limited"
"AXISTECETF","Axis Mutual Fund"
"AXISHCETF","Axis Mutual Fund"
"ACUTAAS","ACUTAAS CHEMICALS LIMITED"
"VIJAYA","Vijaya Diagnostic Centre Limit"
"AXISCETF","Axis Mutual Fund"
"SANSERA","Sansera Engineering Limited"
"PREVEST","Prevest Denpro Limited"
"MARKOLINES","Markolines Pavement Technologi"
"MASPTOP50","Mirae Asset Mutual Fund"
"SBLI","SBL Infratech Limited"
"PARAS","Paras Defence and Space Techno"
"GETALONG","Getalong Enterprise Limited"
"SVRL","Shri Venkatesh Refineries Limi"
"ABSLAMC","Aditya Birla Sun Life AMC Limi"
"SAMOR","Samor Reality Limited"
"CWD","CWD Limited"
"CONSUMIETF","ICICI Prudential Mutual Fund"
"NYKAA","FSN E-Commerce Ventures Limite"
"FINOPB","Fino Payments Bank Limited"
"SJS","S.J.S. Enterprises Limited"
"EQUAL50ADD","DSP Mutual Fund"
"SIGACHI","Sigachi Industries Limited"
"POLICYBZR","PB Fintech Limited"
"SGFRL","Suyog Gurbaxani Funicular Rope"
"PAYTM","One 97 Communications Limited"
"SAPPHIRE","Sapphire Foods India Limited"
"LATENTVIEW","Latent View Analytics Limited"
"TARSONS","Tarsons Products Limited"
"OMNIPOTENT","Omnipotent Industries Limited"
"GOCOLORS","Go Fashion (India) Limited"
"DMR","DMR ENGINEERING LIMITED"
"HITECH","HI-TECH PIPES LIMITED"
"STARHEALTH","Star Health and Allied Insuran"
"TEGA","Tega Industries Limited"
"MAHKTECH","Mirae Asset Mutual Fund"
"ANANDRATHI","Anand Rathi Wealth Limited"
"ZODIAC","Zodiac Energy Limited"
"RATEGAIN","RateGain Travel Technologies L"
"BBETF0432","Edelweiss Mutual Fund"
"SHRIRAMPPS","Shriram Properties Limited"
"JETFREIGHT","Jet Freight Logistics Limited"
"MAPMYINDIA","C.E. Info Systems Limited"
"METROBRAND","Metro Brands Limited"
"MEDPLUS","Medplus Health Services Limite"
"DATAPATTNS","Data Patterns (India) Limited"
"HPAL","HP Adhesives Limited"
"SUPRIYA","Supriya Lifescience Limited"
"MONQ50","Motilal Oswal Mutual Fund"
"MIDQ50ADD","DSP Mutual Fund"
"NIFTYADD","DSP Mutual Fund"
"CMSINFO","CMS Info Systems Limited"
"BCONCEPTS","Brand Concepts Limited"
"ASCENSIVE","Ascensive Educare Limited"
"WEL","WONDER ELECTRICALS LIMITED"
"AUTOIETF","ICICI Prudential Mutual Fund"
"AGSTRA","AGS TRANSACT TECHNOLOGIES LIMI"
"SILVERIETF","ICICI Prudential Mutual Fund"
"ALKOSIGN","ALKOSIGN LIMITED"
"MAKEINDIA","Mirae Asset Mutual Fund"
"AWL","AWL AGRI BUSINESS LIMITED"
"DEVIT","DEV INFORMATION TECHNOLOGY LIM"
"MANYAVAR","Vedant Fashions Limited"
"SPITZE","Maruti Interior Products Limit"
"MOMOMENTUM","Motilal Oswal Mutual Fund"
"SOFTTECH","SoftTech Engineers Limited"
"SILVER","Aditya Birla Sun Life Mutual F"
"TECH","Aditya Birla Sun Life Mutual F"
"HEALTHY","Aditya Birla Sun Life Mutual F"
"BSLNIFTY","Aditya Birla Sun Life Mutual F"
"EKENNIS","Ekennis Software Service Limit"
"GSEC5IETF","ICICI Prudential Mutual Fund"
"MIDCAPETF","Mirae Asset Mutual Fund"
"EUREKAFORB","Eureka Forbes Limited"
"GATEWAY","Gateway Distriparks Limited"
"GMRP&UI","GMR Power and Urban Infra Limi"
"BCCL","Bhatia Colour Chem Limited"
"MSUMI","Motherson Sumi Wiring India Li"
"ACHYUT","Achyut Healthcare Limited"
"EVOQ","Evoq Remedies Limited"
"MOLOWVOL","Motilal Oswal Mutual Fund"
"AVROIND","Avro India Limited"
"UMAEXPORTS","Uma Exports Limited"
"VERANDA","Veranda Learning Solutions Lim"
"SEML","Sunrise Efficient Marketing Li"
"DHYAANITR","DHYAANI TRADEVENTTURES LIMITED"
"HARIOMPIPE","Hariom Pipe Industries Limited"
"EIGHTY","Eighty Jewellers Limited"
"GLHRL","Global Longlife Hospital and R"
"FONE4","Fone4 Communications (India) L"
"NVENTURES","Nanavati Ventures Limited"
"CAMPUS","Campus Activewear Limited"
"RAINBOW","Rainbow Children's Medicare Li"
"SILVERTUC","Silver Touch Technologies Limi"
"LICI","LIFE INSURANCE CORPORATION OF"
"PRUDENT","Prudent Corporate Advisory Ser"
"VENUSPIPES","Venus Pipes & Tubes Limited"
"DELHIVERY","Delhivery Limited"
"PARADEEP","Paradeep Phosphates Limited"
"TIERRA","Tierra Agrotech Limited"
"ETHOSLTD","ETHOS LIMITED"
"EMUDHRA","eMudhra Limited"
"AETHER","Aether Industries Limited"
"WEWIN","We Win Limited"
"MODIS","MODI'S NAVNIRMAN LIMITED"
"PGCRL","Pearl Green Clubs and Resorts"
"KESAR","KESAR INDIA LIMITED"
"BRRL","B-RIGHT REALESTATE LIMITED"
"JAYANT","JAYANT INFRATECH LIMITED"
"VEERKRUPA","Veerkrupa Jewellers Limited"
"HEALTHYLIFE","HEALTHY LIFE AGRITEC LIMITED"
"DDEVPLSTIK","DDEV PLASTIKS INDUSTRIES LIMIT"
"MOHEALTH","Motilal Oswal Mutual Fund"
"MOM30IETF","ICICI Prudential Mutual Fund"
"HDFCNIF100","HDFC Mutual Fund"
"HDFCNEXT50","HDFC Mutual Fund"
"INFRAIETF","ICICI Prudential Mutual Fund"
"SILVERADD","DSP Mutual Fund"
"SYRMA","Syrma SGS Technology Limited"
"NIFTYQLITY","Aditya Birla Sun Life Mutual F"
"MOMENTUM","Aditya Birla Sun Life Mutual F"
"MOVALUE","Motilal Oswal Mutual Fund"
"OLATECH","Olatech Solutions Limited"
"RHETAN","Rhetan TMT Limited"
"DREAMFOLKS","DREAMFOLKS SERVICES LIMITED"
"HDFCSILVER","HDFC Mutual Fund"
"DBOL","Dhampur Bio Organics Limited"
"DPL","DIPNA PHARMACHEM LIMITED"
"TMB","Tamilnad Mercantile Bank Limit"
"VOEPL","Virtuoso Optoelectronics Limit"
"KSOLVES","Ksolves India Limited"
"HARSHA","Harsha Engineers International"
"HDFCQUAL","HDFC Mutual Fund"
"CONTAINE","CONTAINE TECHNOLOGIES LIMITED"
"HDFCGROWTH","HDFC Mutual Fund"
"HDFCVALUE","HDFC Mutual Fund"
"MAFIA","MAFIA TRENDS LIMITED"
"TIPSFILMS","Tips Films Limited"
"TLL","Trident Lifeline Limited"
"CARGOTRANS","Cargotrans Maritime Limited"
"CNCRD","Concord Control Systems Limite"
"INA","INSOLATION ENERGY LIMITED"
"VEDANTASSET","VEDANT ASSET LIMITED"
"EMIL","Electronics Mart India Limited"
"HDFCLOWVOL","HDFC Mutual Fund"
"HDFCMOMENT","HDFC Mutual Fund"
"PPLPHARMA","PIRAMAL PHARMA LIMITED"
"DCI","Dc Infotech and Communication"
"PACE","PACE E-COMMERCE VENTURES LIMIT"
"TRACXN","Tracxn Technologies Limited"
"NARMADA","Narmada Agrobase Limited"
"INFOBEAN","InfoBeans Technologies Limited"
"DCXINDIA","DCX Systems Limited"
"FUSION","FUSION FINANCE LIMITED"
"BIKAJI","Bikaji Foods International Lim"
"MEDANTA","Global Health Limited"
"ACI","Archean Chemical Industries Li"
"FIVESTAR","Five-Star Business Finance Ltd"
"KAYNES","KAYNES TECHNOLOGY INDIA LIMITE"
"HDFCNIFIT","HDFC Mutual Fund"
"HDFCPVTBAN","HDFC Mutual Fund"
"INOXGREEN","INOX GREEN ENERGY SERVICES LIM"
"BBTCL","B&B Triplewall Containers Limi"
"RUSTOMJEE","Keystone Realtors Limited"
"VINNY","VINNY OVERSEAS LIMITED"
"AAATECH","AAA TECHNOLOGIES LIMITED"
"FINIETF","ICICI Prudential Mutual Fund"
"AMBOAGRI","AMBO AGRITEC LIMITED"
"SIRCA","Sirca Paints India Limited"
"DHARMAJ","Dharmaj Crop Guard Limited"
"SARVESHWAR","Sarveshwar Foods Limited"
"UNIPARTS","Uniparts India Limited"
"EBBETF0433","Edelweiss Mutual Fund"
"GARGI","PNGS GARGI FASHION JEWELLERY L"
"COMMOIETF","ICICI Prudential Mutual Fund"
"SULA","Sula Vineyards Limited"
"AFSL","ABANS FINANCIAL SERVICES LIMIT"
"DRONACHRYA","Droneacharya Aerial Innovation"
"LANDMARK","LANDMARK CARS LIMITED"
"KFINTECH","KFin Technologies Limited"
"ELIN","Elin Electronics Limited"
"RADIANTCMS","Radiant Cash Management Servic"
"AVEER","Aveer Foods Limited"
"BANKADD","DSP Mutual Fund"
"AERONEU","Aeroflex Neu Limited"
"SVS","SVS VENTURES LIMITED"
"KAMOPAINTS","Kamdhenu Ventures Limited"
"AARTIPHARM","Aarti Pharmalabs Limited"
"DHARNI","DHARNI CAPITAL SERVICES LIMITE"
"EARTH","Earthstahl & Alloys Limited"
"ASHIKA","Ashika Credit Capital Ltd."
"BTML","BODHI TREE MULTIMEDIA LIMITED"
"NSLNISP","NMDC Steel Limited"
"HDFCBSE500","HDFC Mutual Fund"
"HDFCSML250","HDFC Mutual Fund"
"HDFCMID150","HDFC Mutual Fund"
"GOLDETF","Mirae Asset Mutual Fund"
"SEALMATIC","Sealmatic India Limited"
"ROBU","Macfos Limited"
"PATRON","Patron Exim Limited"
"SVJ","S. V. J. Enterprises Limited"
"AMANAYA","AMANAYA VENTURES LIMITED"
"RESGEN","RESGEN LIMITED"
"ITCONS","ITCONS E-Solutions Limited"
"AIRAN","AIRAN LIMITED"
"DIVGIITTS","DIVGI TORQTRANSFER SYSTEMS LIM"
"ABSLLIQUID","Aditya Birla Sun Life Mutual F"
"PCL","PROSPECT CONSUMER PRODUCTS LIM"
"PSUBNKIETF","ICICI Prudential Mutual Fund"
"SUDARSHAN","SUDARSHAN PHARMA INDUSTRIES LI"
"GSLSU","Global Surfaces Limited"
"BRIGHT","Bright Outdoor Media Limited"
"DEVLAB","Dev Labtech Venture Limited"
"AXSENSEX","Axis Mutual Fund"
"USK","Udayshivakumar infra limited"
"MAIDEN","Maiden Forgings Limited"
"GSEC10YEAR","Mirae Asset Mutual Fund"
"EXHICON","Exhicon Events Media Solutions"
"AVALON","Avalon Technologies Limited"
"SANCODE","Sancode Technologies Limited"
"BLAL","BEML Land Assets Limited"
"CUBEINVIT","Cube Highways Trust"
"SILVERBETA","UTI Mutual Fund"
"RHL","ROBUST HOTELS LIMITED"
"RETINA","Retina Paints Limited"
"GOLDADD","DSP Mutual Fund"
"MANKIND","Mankind Pharma Limited"
"AVG","AVG Logistics Limited"
"ATALREAL","Atal Realtech Limited"
"PIGL","Power & Instrumentation (Gujar"
"NXST","Nexus Select Trust"
"SWATIPRO","Swati Projects Limited"
"PAVNAIND","Pavna Industries Limited"
"HSIL","Hemant Surgical Industries Lim"
"SIGMA","SIGMA SOLVE LIMITED"
"GHCLTEXTIL","GHCL Textiles Limited"
"MKPL","M.K.Proteins Limited"
"CFF","CFF FLUID CONTROL LIMITED"
"COMRADE","Comrade Appliances Limited"
"SILVERAG","Mirae Asset Mutual Fund"
"IKIO","IKIO Technologies Limited"
"SONALIS","Sonalis Consumer Products Limi"
"BIZOTIC","Bizotic Commercial Limited"
"ASIAN","Asian Warehousing Limited"
"COSMICCRF","Cosmic CRF Limited"
"HMAAGRO","HMA Agro Industries Limited"
"URAVIDEF","Uravi Defence and Technology L"
"VEEFIN","VEEFIN SOLUTIONS LIMITED"
"IDEAFORGE","IDEAFORGE TECHNOLOGY LIMITED"
"CYIENTDLM","Cyient DLM Limited"
"MACIND","Machhar Industries Limited"
"ITADD","DSP Mutual Fund"
"SENCO","Senco Gold Limited"
"KAKA","Kaka Industries Limited"
"JIOFIN","Jio Financial Services Limited"
"AHASOLAR","AHASOLAR TECHNOLOGIES LIMITED"
"UTKARSHBNK","UTKARSH SMALL FINANCE BANK LIM"
"ASARFI","ASARFI HOSPITAL LIMITED"
"BANKETF","Mirae Asset Mutual Fund"
"NETWEB","NETWEB TECHNOLOGIES INDIA LIMI"
"LIQUID","Mirae Asset Mutual Fund"
"SENSEXADD","DSP BSE Sensex ETF"
"PSUBANKADD","DSP Mutual Fund"
"PVTBANKADD","DSP Mutual Fund"
"YATHARTH","YATHARTH HOSPITAL & TRAUMA CAR"
"NIITMTS","NIIT Learning Systems Limited"
"KHAZANCHI","Khazanchi Jewellers Limited"
"ATL","Allcargo Terminals Limited"
"TREL","Transindia Real Estate Limited"
"QUAL30IETF","ICICI Prudential Mutual Fund"
"REDTAPE","REDTAPE Limited"
"VLEGOV","VL E-Governance & IT Solutions"
"SBFC","SBFC Finance Limited"
"CONCORDBIO","Concord Biotech Limited"
"DPWIRES","D.P. WIRES LIMITED"
"SHELTER","SHELTER PHARMA LIMITED"
"TVSSCS","TVS Supply Chain Solutions Lim"
"PYRAMID","Pyramid Technoplast Limited"
"SHOORA","Shoora Designs Limited"
"BONDADA","Bondada Engineering Limited"
"AEROFLEX","Aeroflex Industries Limited"
"VPRPL","VISHNU PRAKASH R PUNGLIA LIMIT"
"MIDCAPBETA","UTI Mutual Fund"
"SHRAAITECH","Shradha AI Technologies Limite"
"RISHABH","Rishabh Instruments Limited"
"RATNAVEER","Ratnaveer Precision Engineerin"
"KAHAN","Kahan Packaging Limited"
"JLHL","Jupiter Life Line Hospitals Li"
"RRKABEL","R R KABEL LIMITED"
"QUESTFLOW","QUEST FLOW CONTROLS LIMITED"
"EMSLIMITED","EMS LIMITED"
"SAMHI","Samhi Hotels Limited"
"ZAGGLE","ZAGGLE PREPAID OCEAN SERVICES"
"SOUTHWEST","South West Pinnacle Exploratio"
"NUVAMA","Nuvama Wealth Management Limit"
"KALAMANDIR","Sai Silks (Kalamandir) Limited"
"SIGNATURE","SIGNATUREGLOBAL (INDIA) LIMITE"
"YATRA","YATRA ONLINE LIMITED"
"ARCL","ARCL Organics Ltd"
"JSWINFRA","JSW Infrastructure Limited"
"MVGJL","MANOJ VAIBHAV GEMS 'N' JEWELLE"
"UDS","Updater Services Limited"
"ORGANICREC","ORGANIC RECYCLING SYSTEMS LIMI"
"VALIANTLAB","Valiant Laboratories Limited"
"SENSEXETF","Mirae Asset Mutual Fund"
"CCAL","CITY CROPS AGRO LIMITED"
"SUNITATOOL","Sunita Tools Limited"
"VIVAA","Vivaa Tradecom Limited"
"PLAZACABLE","Plaza Wires Limited"
"IRMENERGY","IRM ENERGY LIMITED"
"ITETF","Mirae Asset Mutual Fund"
"ALPHAETF","Mirae Asset Mutual Fund"
"MAXESTATES","Max Estates Limited"
"BLUEJET","Blue Jet Healthcare Limited"
"CELLO","Cello World Limited"
"HONASA","Honasa Consumer Limited"
"MISHDESIGN","Mish Designs Limited"
"ESAFSFB","ESAF Small Finance Bank Ltd"
"PROTEAN","Protean eGov Technologies Limi"
"ASKAUTOLTD","ASK Automotive Limited"
"KALYANI","Kalyani Cast-Tech Limited"
"ARROWHEAD","Arrowhead Seperation Engineeri"
"IREDA","Indian Renewable Energy Develo"
"FEDFINA","Fedbank Financial Services Lim"
"TATATECH","Tata Technologies Limited"
"GANDHAR","Gandhar Oil Refinery (India) L"
"FLAIR","Flair Writing Industries Limit"
"SPL","Swashthik Plascon Limited"
"DEEPAKCHEM","DEEPAK CHEMTEX LIMITED"
"AMIC","Amic Forging Limited"
"BAJEL","Bajel Projects Limited"
"BBNPPGOLD","BARODA BNP PARIBAS MUTUAL FUND"
"INDIASHLTR","India Shelter Finance Corporat"
"DOMS","DOMS Industries Limited"
"INOXINDIA","INOX India Limited"
"SIYARAM","Siyaram Recycling Industries L"
"BENCHMARK","Benchmark Computer Solutions L"
"MOTISONS","Motisons Jewellers Limited"
"SURAJEST","Suraj Estate Developers Limite"
"MUTHOOTMF","Muthoot Microfin Limited"
"HAPPYFORGE","Happy Forgings Limited"
"MUFTI","Credo Brands Marketing Limited"
"SHANTIDENM","SHANTI SPINTEX LIMITED"
"RBZJEWEL","RBZ Jewellers Limited"
"AZAD","Azad Engineering Limited"
"SUNCLAY","SUNDARAM-CLAYTON LIMITED"
"INNOVACAP","INNOVA CAPTAB LIMITED"
"AIKPIPES","AIK Pipes and Polymers Limited"
"MCPL","Manoj Ceramic Limited"
"SBVCL","Shri Balaji Valve Components L"
"DIGIDRIVE","DIGIDRIVE DISTRIBUTORS LIMITED"
"SHILINDORE","Sayaji Hotels (Indore) Limited"
"JYOTICNC","Jyoti CNC Automation Limited"
"SHREE","Shree Marutinandan Tubes Limit"
"MEDIASSIST","Medi Assist Healthcare Service"
"LIQUIDCASE","Zerodha Mutual Fund"
"SHPLPUNE","Sayaji Hotels (Pune) Limited"
"QLL","Qualitek Labs Limited"
"NIFTYBETF","Bajaj Finserv Mutual Fund"
"BANKBETF","Bajaj Finserv Mutual Fund"
"EUPHORIAIT","Euphoria Infotech (India) Limi"
"EPACK","EPACK Durable Limited"
"NOVAAGRI","Nova Agritech Limited"
"BRISK","Brisk Technovision Limited"
"HARSHDEEP","HARSHDEEP HORTICO LIMITED"
"MCFL","Mayank Cattle Food Limited"
"BLSE","BLS E-Services Limited"
"GPSL","Gabriel Pet Straps Limited"
"HEALTHADD","DSP Mutual Fund"
"HDFCPSUBK","HDFC Mutual Fund"
"PARKHOTELS","Apeejay Surrendra Park Hotels"
"JGTL","JASCH GAUGING TECHNOLOGIES LIM"
"SIGNPOST","Signpost India Limited"
"JSFB","JANA SMALL FINANCE BANK LIMITE"
"RPTECH","Rashi Peripherals Limited"
"CAPITALSFB","Capital Small Finance Bank Ltd"
"RUDRAGAS","Rudra Gas Enterprise Limited"
"ENTERO","Entero Healthcare Solutions Li"
"LICNMID100","LIC Mutual Fund"
"VSTL","VIBHOR STEEL TUBES LIMITED"
"JUNIPER","Juniper Hotels Limited"
"SMALLCAP","Mirae Asset Mutual Fund"
"GPTHEALTH","GPT Healthcare Limited"
"GOLDCASE","Zerodha Mutual Fund"
"EXICOM","EXICOM TELE-SYSTEMS LIMITED"
"PLATIND","Platinum Industries Limited"
"MUKKA","Mukka Proteins Limited"
"RKSWAMY","R K Swamy Limited"
"INDUSINVIT","Indus Infra Trust"
"JGCHEM","J.G.Chemicals Limited"
"KOURA","KOURA FINE DIAMOND JEWELRY LIM"
"GOPAL","Gopal Snacks Limited"
"PESB","Pune E - Stock Broking Limited"
"SCILAL","Shipping Corporation of India"
"ROYAL","Royal Sense Limited"
"PVSL","Popular Vehicles and Services"
"KRYSTAL","KRYSTAL INTEGRATED SERVICES LI"
"KPGEL","KP GREEN ENGINEERING LIMITED"
"CHATHA","CHATHA FOODS LIMITED"
"GCONNECT","Gconnect Logitech and Supply C"
"SRM","SRM CONTRACTORS LIMITED"
"LIQUIDADD","DSP BSE Liquid Rate ETF"
"JAYKAILASH","Jay Kailash Namkeen Limited"
"DPABHUSHAN","D P ABHUSHAN LIMITED"
"BHARTIHEXA","Bharti Hexacom Limited"
"GVL","Greenhitech Ventures Limited"
"SHIVAM","SHIVAM CHEMICALS LIMITED"
"EMMFORCE","EMMFORCE AUTOTECH LIMITED"
"JNKINDIA","JNK India Limited"
"AMKAY","Amkay Products Limited"
"DKUAL","Dolphin Kitchen Utensils and A"
"STAL","Storage Technologies and Autom"
"INDGN","Indegene Limited"
"TBOTEK","TBO TEK LIMITED"
"TGIF","TGIF AGRIBUSINESS LIMITED"
